Title,Author,price,pages,Rating,star5,star4,star3,star2,star1,language,publisher,ISBN,contents
Python in easy steps,[Mike McGrath],10.69,192,4.6,74%,14%,8%,2%,2%,English,"In Easy Steps Limited; 2nd edition (August 28, 2018)",978-1840788129,"1 Getting started
Installing Python on Windows 10
Installing Python on Linux
Meeting the interpreter
Writing your first program
Employing variables
Obtaining user input
Correcting errors
Summary
2 Performing operations
Doing arithmetic
Assigning values
Comparing values
Assessing logic
Examining conditions
Setting precedence
Casting data types
Manipulating bits
Working with dates and times
Handling exceptions
3 Making statements
Writing lists
Manipulating lists
Restricting lists
Associating list elements
Branching with if
Looping while true
Looping over items
Creating your own functions
Using functions from modules
4 Defining functions
Function arguments and return values
Defining functions
Using functions
Function scope
Lambda functions
5 Importing modules
What are modules?
Importing modules
Using modules
6 Managing strings
String basics
String operations
Regular expressions
7 Programming objects
Classes and objects
Object attributes and methods
Inheritance
Polymorphism
8 Processing requests
Reading and writing files
Handling network requests
Working with databases
9 Building interfaces
GUI basics
Creating GUI elements
Laying out GUI elements
Handling GUI events
10 Developing applications
Python packaging
Deploying Python applications"
Python Tricks: A Buffet of Awesome Python Features,[ Dan Bader],29.99,301,4.7,76%,17%,5%,1%,1%,English,"Dan Bader; 1st edition (October 25, 2017)",978-1775093305,"Introduction

What is Python?
Why Python Tricks?
How to Use This Book
Part 1: Strings

String Formatting
String Slicing
String Regular Expressions
Part 2: Functions

First-Class Functions
Higher-Order Functions
Decorators
Part 3: Data Structures

Lists
Tuples
Dictionaries
Sets
Part 4: Classes and Objects

Creating Classes
Using Classes
Inheritance
Polymorphism
Part 5: Modules and Packages

Importing Modules
Creating Modules
Organizing Modules into Packages
Part 6: Concurrency and Parallelism

Threads
Processes
Asynchronous Programming
Part 7: Error Handling and Debugging

Try/Except Statements
Assertions
Debugging Tools
Part 8: Advanced Python

Metaclasses
Context Managers
Generators
Coroutines
Conclusion

Next Steps"
Think Bayes: Bayesian Statistics in Python (O'reilly),[ Allen B. Downey],24.2,338,4.5,76%,8%,10%,3%,3%,English,"O'Reilly Media; 2nd edition (June 8, 2021)",978-1492089469,"Preface
Chapter 1: Bayes's Theorem
Chapter 2: Conditional probability
Chapter 3: Conjoint probability
Chapter 4: Computational Statistics
Chapter 5: Distributions
Chapter 6: Estimation
Chapter 7: More Estimation
Chapter 8: Odds and Addends
Chapter 9: Decision Analysis
Chapter 10: Prediction
Chapter 11: Observer Bias
Chapter 12: Two Dimensions
Chapter 13: Approximate Bayesian Computation
Chapter 14: Hypothesis Testing
Chapter 15: Evidence
Chapter 16: Simulation
Chapter 17: A Hierarchical Model
Chapter 18: Dealing with Dimensions
Appendix A: Answers to Selected Exercises"
Python Data Science Handbook: Essential Tools for Working with Data,[ Jake VanderPlas],68.59,550,,,,,,,English,"O'Reilly Media; 2nd edition (January 31, 2023)",978-1098121228,"Part I: Foundational Tools

Chapter 1: Introduction to Python Data Science
Chapter 2: IPython and Jupyter
Chapter 3: NumPy: Arrays and Mathematics
Chapter 4: Pandas: DataFrames and Data Manipulation
Chapter 5: Matplotlib: Data Visualization
Part II: Data Science Pipelines

Chapter 6: Data Wrangling: Cleaning and Preparing Data
Chapter 7: Exploratory Data Analysis: Understanding Your Data
Chapter 8: Feature Engineering: Creating New Features from Your Data
Chapter 9: Model Building: Training Machine Learning Models
Chapter 10: Model Evaluation: Assessing the Performance of Your Models
Part III: Machine Learning Algorithms

Chapter 11: Linear Regression: Predicting Continuous Values
Chapter 12: Logistic Regression: Predicting Binary Outcomes
Chapter 13: Decision Trees: Classifying and Predicting Data
Chapter 14: Random Forests: Ensemble Learning for Classification and Prediction
Chapter 15: Support Vector Machines: Classification and Regression with Large Data Sets
Chapter 16: Natural Language Processing: Extracting Meaning from Text Data
Chapter 17: Unsupervised Learning: Clustering and Dimensionality Reduction
Part IV: Advanced Data Science

Chapter 18: Distributed Computing with Apache Spark
Chapter 19: Data Pipelines with Airflow
Chapter 20: Model Deployment with Heroku and AWS
Appendix A: Python Data Science Resources Appendix B: NumPy Reference Appendix C: Pandas Reference Appendix D: Matplotlib Reference Appendix E: Scikit-Learn ReferenceIndex"
Data Science for Supply Chain Forecasting,[ Nicolas Vandeput],51.95,280,4.6,73%,15%,10%,2%,,English,"De Gruyter; 2nd edition (March 22, 2021)",978-3110671100,"Introduction

What is supply chain forecasting?
Why is data science important for supply chain forecasting?
What will you learn in this book?
Part 1: Data Preparation and Exploratory Data Analysis

Chapter 1: Data Preparation
Identifying and collecting data
Cleaning and preprocessing data
Merging and transforming data
Chapter 2: Exploratory Data Analysis
Visualizing data
Summarizing data
Identifying patterns and trends in data
Part 2: Classical Forecasting Models

Chapter 3: Time Series Analysis
Stationarity and trend
Autocorrelation and partial autocorrelation
ARIMA models
Chapter 4: Exponential Smoothing
Simple exponential smoothing
Holt's linear exponential smoothing
Damped trend exponential smoothing
Part 3: Machine Learning Forecasting Models

Chapter 5: Linear Regression
Simple linear regression
Multiple linear regression
Regularization
Chapter 6: Decision Trees
Building decision trees
Pruning decision trees
Chapter 7: Random Forests
Ensemble methods
Building random forests
Tuning random forests
Chapter 8: Gradient Boosting Machines
Gradient boosting
Building gradient boosting machines
Tuning gradient boosting machines
Part 4: Model Evaluation and Selection

Chapter 9: Model Evaluation
Holdout validation
Cross-validation
Evaluation metrics
Chapter 10: Model Selection
Model selection criteria
Ensembling forecasting models
Part 5: Advanced Forecasting Techniques

Chapter 11: Seasonal Forecasting
Identifying seasonal patterns in data
Forecasting seasonal data
Chapter 12: Intermittent Demand Forecasting
Identifying intermittent demand
Forecasting intermittent demand
Chapter 13: Multi-Echelon Forecasting
Challenges of multi-echelon forecasting
Multi-echelon forecasting methods
Conclusion

Summary of key takeaways
Future trends in supply chain forecasting"
"Fluent Python: Clear, Concise, and Effective Programming",[ Luciano Ramalho],50.99,1012,4.7,86%,7%,2%,3%,2%,English,"O'Reilly Media; 2nd edition (May 10, 2022)",978-1492056355,"Part I: Data Structures

Sequences: Lists, Tuples, and Strings
Dictionaries
Sets
Unicode
Data Classes
Part II: Functions as Objects

First-Class Functions
Higher-Order Functions
Function Decorators
Type Hints in Function Declarations
Part III: Object-Oriented Idioms

Composition
Inheritance
Mixins
Interfaces
Operator Overloading
Protocols
Static Types in Python
Part IV: Control Flow

Context Managers
Generators
Coroutines
Asynchronous Programming with Async/Await
Thread and Process Pools
Part V: Metaprogramming

Properties
Attribute Descriptors
Class Decorators
New Class Metaprogramming Hooks
Appendix

Python Module Index
General Index"
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,[ Leonard J. Ledger],15.97,88,4.9,94%,4%,1%,2%,,English,"Independently published (September 24, 2022)",979-8354411122,"Chapter 1: Introduction to Python

What is Python?
Why learn Python?
Installing Python
Python syntax
Variables and data types
Operators and expressions
Conditional statements
Loops
Chapter 2: Functions

Defining functions
Calling functions
Function arguments and return values
Recursion
Chapter 3: Data Structures

Lists
Tuples
Sets
Dictionaries
Chapter 4: Object-Oriented Programming in Python

Classes and objects
Inheritance
Polymorphism
Chapter 5: Modules and Packages

Importing modules
Creating and using packages
Chapter 6: File I/O

Reading and writing files
Working with directories
Chapter 7: Error Handling

Common Python errors
Raising and handling exceptions
Chapter 8: Testing Your Code

Unit testing
Integration testing
System testing
Chapter 9: Python Projects

Text adventure game
Web scraper
Data analysis project
Chapter 10: Deploying Your Python Code

Creating executables
Packaging your code for distribution
Deploying your code to a server
Appendix:

Python resources
Python cheat sheet"
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,[ Mike Cohen],54.99,328,4.1,70%,30%,,,,English,"O'Reilly Media; 1st edition (October 18, 2022)",978-1098120610,"Chapter 1: Introduction to Linear Algebra

What is linear algebra?
Vectors and matrices
Matrix operations
Linear systems of equations
Vector spaces and subspaces
Basis and dimension
Orthogonality and projections
Chapter 2: Linear Transformations

What is a linear transformation?
The kernel and image of a linear transformation
The rank-nullity theorem
Change of basis
Matrix representations of linear transformations
Chapter 3: Eigenvectors and Eigenvalues

What are eigenvectors and eigenvalues?
Computing eigenvectors and eigenvalues
Diagonalization of matrices
Jordan decomposition
Chapter 4: Least Squares Regression

What is least squares regression?
The ordinary least squares estimator
The Gauss-Markov theorem
Confidence intervals and hypothesis tests
Regularization
Chapter 5: Principal Component Analysis

What is principal component analysis?
Computing principal components
Dimensionality reduction with principal component analysis
Applications of principal component analysis
Chapter 6: Singular Value Decomposition

What is the singular value decomposition?
Computing the singular value decomposition
Applications of the singular value decomposition
Chapter 7: Linear Discriminant Analysis

What is linear discriminant analysis?
The linear discriminant function
Classification with linear discriminant analysis
Evaluating linear discriminant analysis models
Chapter 8: Support Vector Machines

What are support vector machines?
The support vector machine classifier
Hyperparameter optimization
Applications of support vector machines
Chapter 9: Linear Regression with Python

Importing and exporting data in Python
NumPy and Pandas for linear algebra
Scikit-Learn for linear regression
Evaluating and deploying linear regression models
Appendix A: Linear Algebra Review

Vectors and matrices
Matrix operations
Linear systems of equations
Appendix B: Python Crash Course

Variables and data types
Control flow statements
Functions
Classes and objects"
Preparing For A Data Interview: Learn Enough Python For A Project Or An Interview,[ Jonelle Hoop],10.74,24,,,,,,,English,"Independently published (December 10, 2022)",979-8367888348,"Chapter 1: Introduction to Data Interviews

What is a data interview?
What types of data interview questions can you expect?
How to prepare for a data interview
Chapter 2: Python Basics

What is Python?
Python data types
Python variables and functions
Python conditional statements and loops
Python modules and packages
Chapter 3: Data Manipulation in Python

Using NumPy for numerical computing
Using Pandas for data analysis and manipulation
Using Matplotlib for data visualization
Chapter 4: Machine Learning in Python

What is machine learning?
Supervised learning algorithms
Unsupervised learning algorithms
Evaluating machine learning models
Chapter 5: Data Science Projects with Python

Building a simple data science project
Deploying a data science project
Appendix A: Python Resources

Python tutorials
Python documentation
Python libraries
Appendix B: Data Interview Resources

Data interview questions
Data interview tips
Data interview preparation guides"
Think Python: How to Think Like a Computer Scientist,,28.99,289,4.6,78%,13%,8%,1%,1%,English,"O'Reilly Media; 2nd edition (January 26, 2016)",978-1491939369,"1. The Way of the Program

What is a Program?
Algorithms
The Python Programming Language
Executing Python in This Book
More About Programs
What is Debugging?
Syntax Errors
Runtime Errors
Semantic Errors
Experimental Debugging
Formal and Natural Languages
A Typical First Program
Comments
2. Variables, Expressions, and Statements

Values and Types
Variables
Expressions
Statements
More About Variables
Input and Output
Functions
More About Functions
3. Functions

Function Calls
Function Parameters
Functions as Arguments
Defining Your Own Functions
Function Scope
Modules
More About Modules
4. Case Study: Interface Design

TurtleWorld
Using TurtleWorld
Drawing Shapes
Writing Text
Controlling Motion
Events
More About TurtleWorld
5. Conditionals and Recursion

Boolean Values and Boolean Expressions
Logical Operators
Conditional Execution: Binary Selection
Omitting the else Clause: Unary Selection
Nested Conditionals
Chained Conditionals
Boolean Functions
More Unit Testing
Recursion
More About Recursion
6. Strings and Files

String Values
String Operations
String Formatting
Files
More About Files
7. Lists

List Values
List Operations
List Methods
More About Lists
8. Dictionaries

Dictionary Values
Dictionary Operations
Dictionary Methods
More About Dictionaries
9. Tuples

Tuple Values
Tuple Operations
More About Tuples
10. Sets

Set Values
Set Operations
Set Methods
More About Sets
11. Classes and Objects

Classes
Objects
Methods
Inheritance
More About Classes and Objects
12. Graphical User Interfaces

Tkinter
Using Tkinter
Creating a Window
Adding Widgets
Handling Events
More About Tkinter
13. Error Handling

Exceptions
Handling Exceptions
Raising Exceptions
More About Error Handling
14. Testing and Debugging

Unit Testing
Integration Testing
System Testing
Debugging Tools
More About Testing and Debugging
15. Putting It All Together

Case Study: Web Crawler
Designing the Crawler
Implementing the Crawler
Using the Crawler
More About the Crawler
Appendix A: Python SyntaxAppendix B: Python Built-in FunctionsAppendix C: Python Modules Appendix D: Answers to Exercises Index"
Python for Algorithmic Trading: From Idea to Cloud Deployment,[ Yves Hilpisch],44.49,380,4.3,67%,14%,9%,5%,5%,English,"O'Reilly Media; 1st edition (December 8, 2020)",978-1492053354,"Chapter 1: Python and Algorithmic Trading

What is algorithmic trading?
Why use Python for algorithmic trading?
Python's ecosystem for algorithmic trading
Trading platforms and brokers
Chapter 2: Python Infrastructure

Setting up a Python environment for algorithmic trading
Managing financial data
Using NumPy and pandas for vectorized analysis
Backtesting trading strategies
Chapter 3: Working with Financial Data

Retrieving financial data from public and proprietary sources
Cleaning and preprocessing financial data
Visualizing financial data
Chapter 4: Mastering Vectorized Backtesting

What is backtesting?
Vectorized backtesting with Python
Developing backtesting frameworks
Chapter 5: Predicting Market Movements with Machine Learning

Machine learning for algorithmic trading
Linear regression
Support vector machines
Random forests
Neural networks
Chapter 6: Real-Time Processing of Streaming Data

What is streaming data?
Real-time processing with Python
Using ZeroMQ for real-time trading
Chapter 7: Implementing Automated Trading Strategies

Implementing trading strategies with Python
Using the OANDA and FXCM trading platforms
Chapter 8: Cloud Deployment of Algorithmic Trading Systems

Why deploy algorithmic trading systems in the cloud?
Deploying algorithmic trading systems on Amazon Web Services (AWS)
Chapter 9: Case Studies

Case study 1: Implementing a simple moving average crossover strategy
Case study 2: Implementing a machine learning-based trading strategy"
Python for Data Science: A Hands-On Introduction,[ Yuli Vasiliev],27.99,240,4.6,79%,10%,11%,,,English,"No Starch Press (August 2, 2022)",978-1718502208,"Introduction
The Basics of Data
Python Data Structures
Python Data Science Libraries
Accessing Data from Files and APIs
Working with Databases
Aggregating Data
Combining Datasets
Creating Visualizations
Analyzing Location Data
Text Preprocessing and Analysis
Exploratory Data Analysis
Machine Learning with scikit-learn
Building a Recommendation System
Deploying a Data Science Model
Conclusion"
Robust Python: Write Clean and Maintainable Code,[ Patrick Viafore],32.99,380,4.5,73%,15%,6%,2%,4%,English,"O'Reilly Media; 1st edition (August 3, 2021)",978-1098100667,"Chapter 1: Introduction to Robust Python

What is Robust Python?
Why is Robust Python important?
Benefits of writing clean and maintainable code
How to write Robust Python code
Chapter 2: Code Formatting and Tools

Code style guides
Code formatters
Code linters
Code debuggers
Chapter 3: General Traits of Good Code

Readability
Modularity
Testability
Reusability
Efficiency
Chapter 4: The SOLID Principles

Single Responsibility Principle (SRP)
Open/Closed Principle (OCP)
Liskov Substitution Principle (LSP)
Interface Segregation Principle (ISP)
Dependency Inversion Principle (DIP)
Chapter 5: Using Decorators to Improve Our Code

What are decorators?
How to use decorators
Common decorators
Chapter 6: Getting More Out of Our Objects with Descriptors

What are descriptors?
How to use descriptors
Common descriptors
Chapter 7: Generators, Iterators, and Asynchronous Programming

What are generators?
What are iterators?
Asynchronous programming
Chapter 8: Unit Testing and Refactoring

What is unit testing?
How to write unit tests
Refactoring
Chapter 9: Clean Architecture

What is clean architecture?
Layers of a clean architecture
Benefits of using a clean architecture
Chapter 10: Common Maintainability Gotchas

Common maintainability gotchas
How to avoid maintainability gotchas
Chapter 11: Building a Safety Net Around Your Codebase with Linters and Tests

Using linters to improve the quality of your code
Using tests to ensure the correctness of your code
Chapter 12: Conclusion

Next steps
Appendix A: Python Style Guide

PEP 8 style guide
Other Python style guides
Appendix B: Code Review Checklist

Code review checklist for maintainability"
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS",[ JOE WEBINAR],14,175,4.6,65%,35%,,,,English,"Independently published (February 21, 2022)",979-8420836248,"Chapter 1: Introduction to Data Analysis

What is Data Analysis?
Why is Data Analysis Important?
Benefits of Data Analysis
Types of Data Analysis
Data Analysis Process
Tools and Techniques for Data Analysis
Excel as a Data Analysis Tool
Chapter 2: Preparing Data for Analysis

Data Cleaning and Preparation
Data Quality Checks
Data Transformation
Data Normalization
Creating Data Tables and PivotTables
Chapter 3: Descriptive Statistics

Measures of Central Tendency
Measures of Dispersion
Measures of Shape
Outlier Detection
Data Visualization
Chapter 4: Inferential Statistics

Hypothesis Testing
Confidence Intervals
Regression Analysis
Time Series Analysis
Correlation Analysis
Chapter 5: Financial Analysis

Financial Statements Analysis
Ratio Analysis
Discounted Cash Flow Analysis
Monte Carlo Simulation
Sensitivity Analysis
Chapter 6: Case Studies

Case Study 1: Sales Data Analysis
Case Study 2: Financial Data Analysis
Case Study 3: Customer Data Analysis
Appendix A: Excel Functions for Data AnalysisAppendix B: Statistical FormulasAppendix C: Answers to Exercises"
